anio_enfr,prov_id,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,region,dm_prev_cv_cat
2013,,75+,Mujer,5054,1196.56,0.24,0.19,0.04,0.21,Patagonia Norte,Alta
2013,,75+,Varón,4049,990.05,0.24,0.22,0.05,0.22,Patagonia Norte,Alta
2013,,20 a 29,Mujer,4805,1359.13,0.28,0.06,0.02,0.27,Patagonia Sur,Alta
2013,,20 a 29,Varón,1983,1043.24,0.53,0.03,0.01,0.52,Patagonia Sur,Muy alta
2013,,30 a 44,Mujer,8210,1489.47,0.18,0.09,0.01,0.17,Patagonia Sur,Moderada
2013,,30 a 44,Varón,7296,1423.14,0.2,0.07,0.01,0.19,Patagonia Sur,Moderada
2013,,45 a 59,Mujer,10130,1563.35,0.15,0.14,0.02,0.14,Patagonia Sur,Moderada
2013,,45 a 59,Varón,9268,1723.44,0.19,0.14,0.02,0.17,Patagonia Sur,Moderada
2013,,60 a 74,Mujer,8081,1456.67,0.18,0.24,0.04,0.15,Patagonia Sur,Moderada
2013,,60 a 74,Varón,5916,1167.24,0.2,0.18,0.03,0.18,Patagonia Sur,Moderada
2013,,75+,Mujer,2948,686.12,0.23,0.21,0.05,0.22,Patagonia Sur,Alta
2013,,75+,Varón,1096,434.34,0.4,0.13,0.05,0.38,Patagonia Sur,Muy alta
2018,,20 a 29,Mujer,183992,29094.53,0.16,0.09,0.01,0.15,Centro,Moderada
2018,,20 a 29,Varón,54611,16494.15,0.3,0.03,0.01,0.3,Centro,Alta
2018,,30 a 44,Mujer,333078,35631.36,0.11,0.11,0.01,0.1,Centro,Baja
2018,,30 a 44,Varón,125399,19770.42,0.16,0.05,0.01,0.15,Centro,Moderada
2018,,45 a 59,Mujer,328116,35034.33,0.11,0.14,0.01,0.1,Centro,Baja
2018,,45 a 59,Varón,422593,43001.53,0.1,0.2,0.02,0.1,Centro,Baja
2018,,60 a 74,Mujer,352741,30621.48,0.09,0.21,0.02,0.08,Centro,Baja
2018,,60 a 74,Varón,361550,32554.1,0.09,0.23,0.02,0.08,Centro,Baja
2018,,75+,Mujer,124058,13390.59,0.11,0.17,0.02,0.11,Centro,Moderada
2018,,75+,Varón,106084,16866.64,0.16,0.2,0.03,0.15,Centro,Moderada
2018,,20 a 29,Mujer,17091,4861.96,0.28,0.07,0.02,0.28,Cuyo,Alta
2018,,20 a 29,Varón,7746,2639.58,0.34,0.04,0.01,0.35,Cuyo,Muy alta
2018,,30 a 44,Mujer,53970,10000.51,0.19,0.16,0.03,0.18,Cuyo,Moderada
2018,,30 a 44,Varón,22872,4665.75,0.2,0.08,0.02,0.2,Cuyo,Moderada
2018,,45 a 59,Mujer,42052,6487,0.15,0.18,0.03,0.14,Cuyo,Moderada
2018,,45 a 59,Varón,27247,5302.92,0.19,0.13,0.02,0.19,Cuyo,Moderada
2018,,60 a 74,Mujer,33564,3917.52,0.12,0.22,0.02,0.12,Cuyo,Moderada
2018,,60 a 74,Varón,55509,8057.59,0.15,0.35,0.04,0.12,Cuyo,Moderada
2018,,75+,Mujer,11899,2455.44,0.21,0.17,0.03,0.19,Cuyo,Moderada
2018,,75+,Varón,13565,3621.56,0.27,0.26,0.07,0.27,Cuyo,Alta
2018,,20 a 29,Mujer,22055,4299.37,0.19,0.08,0.02,0.19,NEA,Moderada
2018,,20 a 29,Varón,11223,3575.56,0.32,0.04,0.01,0.32,NEA,Muy alta
2018,,30 a 44,Mujer,37061,5381.8,0.15,0.11,0.02,0.14,NEA,Moderada
2018,,30 a 44,Varón,18815,3775.98,0.2,0.07,0.01,0.19,NEA,Moderada
2018,,45 a 59,Mujer,47936,5958.03,0.12,0.2,0.02,0.11,NEA,Moderada
2018,,45 a 59,Varón,28654,4567.11,0.16,0.14,0.02,0.15,NEA,Moderada
2018,,60 a 74,Mujer,34819,4750.69,0.14,0.23,0.03,0.12,NEA,Moderada
2018,,60 a 74,Varón,32775,4755.31,0.15,0.21,0.03,0.14,NEA,Moderada
2018,,75+,Mujer,17501,3665.32,0.21,0.28,0.05,0.18,NEA,Moderada
2018,,75+,Varón,6022,1312.19,0.22,0.18,0.04,0.24,NEA,Alta
2018,,20 a 29,Mujer,19665,4660.1,0.24,0.07,0.02,0.23,NOA1,Alta
2018,,20 a 29,Varón,7976,2806.95,0.35,0.03,0.01,0.36,NOA1,Muy alta
2018,,30 a 44,Mujer,44514,5720.3,0.13,0.13,0.02,0.12,NOA1,Moderada
2018,,30 a 44,Varón,19493,4454.68,0.23,0.07,0.01,0.22,NOA1,Alta
2018,,45 a 59,Mujer,38258,5615.65,0.15,0.17,0.02,0.15,NOA1,Moderada
2018,,45 a 59,Varón,38270,5474.46,0.14,0.17,0.02,0.13,NOA1,Moderada
2018,,60 a 74,Mujer,33352,4649.97,0.14,0.2,0.03,0.13,NOA1,Moderada
2018,,60 a 74,Varón,24201,4968.86,0.21,0.16,0.03,0.19,NOA1,Moderada
2018,,75+,Mujer,9740,2789.2,0.29,0.19,0.05,0.24,NOA1,Alta
2018,,75+,Varón,7373,2693.86,0.37,0.18,0.06,0.37,NOA1,Muy alta
2018,,20 a 29,Mujer,12104,3269.26,0.27,0.14,0.04,0.26,NOA2,Alta
2018,,20 a 29,Varón,1081,709.97,0.66,0.01,0.01,0.69,NOA2,Muy alta
2018,,30 a 44,Mujer,13103,3271.06,0.25,0.13,0.03,0.25,NOA2,Alta
2018,,30 a 44,Varón,7728,2165.56,0.28,0.08,0.02,0.3,NOA2,Alta
2018,,45 a 59,Mujer,13213,2981.16,0.23,0.19,0.04,0.21,NOA2,Alta
2018,,45 a 59,Varón,14350,3135.38,0.22,0.22,0.05,0.23,NOA2,Alta
2018,,60 a 74,Mujer,10165,2640.95,0.26,0.2,0.05,0.24,NOA2,Alta
2018,,60 a 74,Varón,8557,2294.59,0.27,0.23,0.06,0.27,NOA2,Alta
2018,,75+,Mujer,1403,664.33,0.47,0.08,0.03,0.43,NOA2,Muy alta
2018,,75+,Varón,2291,1317.98,0.58,0.17,0.09,0.53,NOA2,Muy alta
2018,,20 a 29,Mujer,13582,2561.39,0.19,0.12,0.02,0.19,Patagonia Norte,Moderada
2018,,20 a 29,Varón,3283,1324.6,0.4,0.03,0.01,0.4,Patagonia Norte,Muy alta
2018,,30 a 44,Mujer,23501,3042.92,0.13,0.15,0.02,0.13,Patagonia Norte,Moderada
2018,,30 a 44,Varón,7344,1672.95,0.23,0.05,0.01,0.22,Patagonia Norte,Alta
2018,,45 a 59,Mujer,17522,3301.35,0.19,0.15,0.03,0.17,Patagonia Norte,Moderada
2018,,45 a 59,Varón,15463,2264.21,0.15,0.15,0.02,0.14,Patagonia Norte,Moderada
2018,,60 a 74,Mujer,20810,2935.86,0.14,0.28,0.03,0.11,Patagonia Norte,Moderada
2018,,60 a 74,Varón,20028,2749.13,0.14,0.24,0.03,0.14,Patagonia Norte,Moderada
2018,,75+,Mujer,6155,1492.81,0.24,0.2,0.04,0.21,Patagonia Norte,Alta
2018,,75+,Varón,3348,997.83,0.3,0.21,0.06,0.29,Patagonia Norte,Alta
2018,,20 a 29,Mujer,8301,1959.17,0.24,0.09,0.02,0.23,Patagonia Sur,Alta
2018,,20 a 29,Varón,4929,1642.49,0.33,0.06,0.02,0.34,Patagonia Sur,Muy alta
2018,,30 a 44,Mujer,15403,2452.53,0.16,0.13,0.02,0.16,Patagonia Sur,Moderada
2018,,30 a 44,Varón,9626,1846.74,0.19,0.08,0.02,0.19,Patagonia Sur,Moderada
2018,,45 a 59,Mujer,14752,2953.77,0.2,0.19,0.04,0.2,Patagonia Sur,Moderada
2018,,45 a 59,Varón,11070,2326.95,0.21,0.14,0.03,0.2,Patagonia Sur,Moderada
2018,,60 a 74,Mujer,10194,2038.01,0.2,0.25,0.04,0.17,Patagonia Sur,Moderada
2018,,60 a 74,Varón,13649,2522.86,0.18,0.29,0.05,0.17,Patagonia Sur,Moderada
2018,,75+,Mujer,2198,784.09,0.36,0.19,0.06,0.31,Patagonia Sur,Muy alta
2018,,75+,Varón,3589,1410.09,0.39,0.24,0.09,0.37,Patagonia Sur,Muy alta
