anio_enfr,prov_id,prov_nombre,grupo_edad_amp,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2018,54,Misiones,60 a 74,Mujer,7227,1506.31,0.21,0.17,0.03,0.2,Moderada
2018,54,Misiones,60 a 74,Varón,9540,2391.23,0.25,0.21,0.05,0.24,Alta
2018,54,Misiones,75+,Mujer,4496,2226.31,0.5,0.26,0.11,0.43,Muy alta
2018,54,Misiones,75+,Varón,256,249.34,0.97,0.04,0.05,1.44,Muy alta
2018,58,Neuquén,20 a 29,Mujer,5221,1794.39,0.34,0.13,0.04,0.35,Muy alta
2018,58,Neuquén,20 a 29,Varón,912,873.64,0.96,0.02,0.02,0.91,Muy alta
2018,58,Neuquén,30 a 44,Mujer,11780,2370.81,0.2,0.18,0.04,0.21,Alta
2018,58,Neuquén,30 a 44,Varón,2487,958.8,0.39,0.04,0.02,0.4,Muy alta
2018,58,Neuquén,45 a 59,Mujer,5869,1678.29,0.29,0.14,0.04,0.27,Alta
2018,58,Neuquén,45 a 59,Varón,4396,1200.5,0.27,0.11,0.03,0.27,Alta
2018,58,Neuquén,60 a 74,Mujer,9800,2323.01,0.24,0.31,0.06,0.18,Moderada
2018,58,Neuquén,60 a 74,Varón,8058,2111.22,0.26,0.29,0.07,0.25,Alta
2018,58,Neuquén,75+,Mujer,3192,1199.65,0.38,0.25,0.08,0.33,Muy alta
2018,58,Neuquén,75+,Varón,288,285.96,0.99,0.07,0.07,1.09,Muy alta
2018,62,Río Negro,20 a 29,Mujer,7008,1631.89,0.23,0.13,0.03,0.24,Alta
2018,62,Río Negro,20 a 29,Varón,667,431.69,0.65,0.01,0.01,0.66,Muy alta
2018,62,Río Negro,30 a 44,Mujer,7814,1507.92,0.19,0.12,0.02,0.2,Moderada
2018,62,Río Negro,30 a 44,Varón,1700,697.99,0.41,0.03,0.01,0.38,Muy alta
2018,62,Río Negro,45 a 59,Mujer,10418,2891.71,0.28,0.19,0.05,0.24,Alta
2018,62,Río Negro,45 a 59,Varón,7761,1607.05,0.21,0.17,0.04,0.21,Alta
2018,62,Río Negro,60 a 74,Mujer,7075,1112.12,0.16,0.25,0.03,0.14,Moderada
2018,62,Río Negro,60 a 74,Varón,8755,1634.83,0.19,0.21,0.04,0.18,Moderada
2018,62,Río Negro,75+,Mujer,2026,718.75,0.35,0.15,0.05,0.31,Muy alta
2018,62,Río Negro,75+,Varón,1309,596.24,0.46,0.2,0.1,0.47,Muy alta
2018,66,Salta,20 a 29,Mujer,5211,2447.33,0.47,0.05,0.02,0.45,Muy alta
2018,66,Salta,20 a 29,Varón,2428,1517.52,0.63,0.02,0.01,0.62,Muy alta
2018,66,Salta,30 a 44,Mujer,16186,3341.67,0.21,0.13,0.03,0.2,Moderada
2018,66,Salta,30 a 44,Varón,6528,2089.15,0.32,0.06,0.02,0.3,Alta
2018,66,Salta,45 a 59,Mujer,16503,3443.66,0.21,0.18,0.04,0.2,Moderada
2018,66,Salta,45 a 59,Varón,12300,2717.37,0.22,0.14,0.03,0.2,Moderada
2018,66,Salta,60 a 74,Mujer,12108,3226.72,0.27,0.22,0.05,0.24,Alta
2018,66,Salta,60 a 74,Varón,6692,1859.82,0.28,0.13,0.04,0.28,Alta
2018,66,Salta,75+,Mujer,3315,1305.01,0.39,0.21,0.07,0.36,Muy alta
2018,66,Salta,75+,Varón,3765,1953.02,0.52,0.34,0.14,0.42,Muy alta
2018,70,San Juan,20 a 29,Mujer,1390,981.86,0.71,0.03,0.02,0.74,Muy alta
2018,70,San Juan,20 a 29,Varón,2419,1207.73,0.5,0.05,0.03,0.55,Muy alta
2018,70,San Juan,30 a 44,Mujer,6482,2017.54,0.31,0.1,0.03,0.31,Muy alta
2018,70,San Juan,30 a 44,Varón,6682,2238.53,0.34,0.1,0.03,0.33,Muy alta
2018,70,San Juan,45 a 59,Mujer,15036,3153.25,0.21,0.27,0.05,0.18,Moderada
2018,70,San Juan,45 a 59,Varón,8189,2378.98,0.29,0.21,0.06,0.27,Alta
2018,70,San Juan,60 a 74,Mujer,11896,2567.25,0.22,0.29,0.06,0.22,Alta
2018,70,San Juan,60 a 74,Varón,9245,3031.93,0.33,0.28,0.08,0.27,Alta
2018,70,San Juan,75+,Mujer,4039,1576.56,0.39,0.31,0.1,0.34,Muy alta
2018,70,San Juan,75+,Varón,1832,928.13,0.51,0.25,0.13,0.53,Muy alta
2018,74,San Luis,20 a 29,Mujer,5329,1509.96,0.28,0.17,0.05,0.28,Alta
2018,74,San Luis,20 a 29,Varón,1873,1183.71,0.63,0.05,0.03,0.66,Muy alta
2018,74,San Luis,30 a 44,Mujer,10253,2221.91,0.22,0.2,0.04,0.21,Alta
