anio_enfr,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,Centro,20 a 29,Mujer,37,2.46666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,148.994002379769
2005,Centro,20 a 29,Varón,26,1.73333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,94.7380588040725
2005,Centro,30 a 44,Mujer,124,8.26666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,419.244723205502
2005,Centro,30 a 44,Varón,145,9.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,438.273618017375
2005,Centro,45 a 59,Mujer,670,44.6666666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1627.67853567695
2005,Centro,45 a 59,Varón,1166,77.7333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,2442.881047729
2005,Centro,60 a 74,Mujer,2770,184.666666666667,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,4262.38108204331
2005,Centro,60 a 74,Varón,3761,250.733333333333,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,4724.41831547678
2005,Centro,75+,Mujer,4708,313.866666666667,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,3676.75348495347
2005,Centro,75+,Varón,3597,239.8,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,2229.71457572296
2005,Cuyo,20 a 29,Mujer,6,0.5,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,30.201486968872
2005,Cuyo,20 a 29,Varón,5,0.416666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,22.7735718279021
2005,Cuyo,30 a 44,Mujer,22,1.83333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,92.977660388317
2005,Cuyo,30 a 44,Varón,25,2.08333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,94.4555211244342
2005,Cuyo,45 a 59,Mujer,193,16.0833333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,586.08574139114
2005,Cuyo,45 a 59,Varón,284,23.6666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,743.758809557286
2005,Cuyo,60 a 74,Mujer,715,59.5833333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1375.27187439574
2005,Cuyo,60 a 74,Varón,876,73,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,1375.49536172483
2005,Cuyo,75+,Mujer,751,62.5833333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,733.124964740881
2005,Cuyo,75+,Varón,560,46.6666666666667,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,433.917209620816
2005,NEA,20 a 29,Mujer,6,0.5,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,30.201486968872
2005,NEA,20 a 29,Varón,4,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2005,NEA,30 a 44,Mujer,28,2.33333333333333,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,118.335204130585
2005,NEA,30 a 44,Varón,25,2.08333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,94.4555211244342
2005,NEA,45 a 59,Mujer,167,13.9166666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,507.131185556064
2005,NEA,45 a 59,Varón,205,17.0833333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,536.868154786069
2005,NEA,60 a 74,Mujer,480,40,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,923.259440153785
2005,NEA,60 a 74,Varón,491,40.9166666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,770.968290647135
