anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,10,Catamarca,40 a 49,Varón,5,0.833333333333333,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,30.0120214969581
2005,10,Catamarca,50 a 59,Mujer,21,3.5,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,111.473765776179
2005,10,Catamarca,50 a 59,Varón,22,3.66666666666667,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,98.975088192661
2005,10,Catamarca,60 a 69,Mujer,20,3.33333333333333,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,76.9382866794821
2005,10,Catamarca,60 a 69,Varón,25,4.16666666666667,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,78.5100092308692
2005,10,Catamarca,70 a 79,Mujer,39,6.5,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,98.9334123365555
2005,10,Catamarca,70 a 79,Varón,42,7,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,84.5328468204022
2005,10,Catamarca,80+,Mujer,33,11,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,92.9789335714455
2005,10,Catamarca,80+,Varón,32,10.6666666666667,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,72.3481655784338
2005,14,Córdoba,20 a 29,Mujer,6,1,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,60.4029739377441
2005,14,Córdoba,20 a 29,Varón,3,0.5,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,27.3282861934825
2005,14,Córdoba,30 a 39,Mujer,12,2,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,101.430174969073
2005,14,Córdoba,30 a 39,Varón,9,1.5,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,68.0079752095926
2005,14,Córdoba,40 a 49,Mujer,25,4.16666666666667,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,171.420824157157
2005,14,Córdoba,40 a 49,Varón,40,6.66666666666667,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,240.096171975665
2005,14,Córdoba,50 a 59,Mujer,118,19.6666666666667,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,626.37639817091
2005,14,Córdoba,50 a 59,Varón,214,35.6666666666667,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,962.757676055885
2005,14,Córdoba,60 a 69,Mujer,312,52,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,1200.23727219992
2005,14,Córdoba,60 a 69,Varón,442,73.6666666666667,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,1388.05696320177
2005,14,Córdoba,70 a 79,Mujer,475,79.1666666666667,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,1204.958227176
2005,14,Córdoba,70 a 79,Varón,594,99,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,1195.53597645997
2005,14,Córdoba,80+,Mujer,561,187,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,1580.64187071457
2005,14,Córdoba,80+,Varón,308,102.666666666667,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,696.351093692426
2005,18,Corrientes,20 a 29,Mujer,1,0.166666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,10.0671623229573
2005,18,Corrientes,20 a 29,Varón,2,0.333333333333333,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,18.2188574623216
2005,18,Corrientes,30 a 39,Mujer,3,0.5,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,25.3575437422683
2005,18,Corrientes,30 a 39,Varón,0,0,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,0
2005,18,Corrientes,40 a 49,Mujer,8,1.33333333333333,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,54.8546637302902
2005,18,Corrientes,40 a 49,Varón,13,2.16666666666667,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,78.0312558920911
2005,18,Corrientes,50 a 59,Mujer,27,4.5,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,143.323413140802
2005,18,Corrientes,50 a 59,Varón,40,6.66666666666667,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,179.954705804838
2005,18,Corrientes,60 a 69,Mujer,64,10.6666666666667,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,246.202517374343
2005,18,Corrientes,60 a 69,Varón,89,14.8333333333333,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,279.495632861894
2005,18,Corrientes,70 a 79,Mujer,100,16.6666666666667,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,253.675416247578
2005,18,Corrientes,70 a 79,Varón,99,16.5,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,199.255996076662
2005,18,Corrientes,80+,Mujer,80,26.6666666666667,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,225.403475324716
2005,18,Corrientes,80+,Varón,43,14.3333333333333,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,97.2178474960205
2005,22,Chaco,20 a 29,Mujer,2,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,22,Chaco,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,22,Chaco,30 a 39,Mujer,3,0.5,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,25.3575437422683
2005,22,Chaco,30 a 39,Varón,3,0.5,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,22.6693250698642
2005,22,Chaco,40 a 49,Mujer,11,1.83333333333333,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,75.4251626291489
2005,22,Chaco,40 a 49,Varón,8,1.33333333333333,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,48.019234395133
2005,22,Chaco,50 a 59,Mujer,32,5.33333333333333,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,169.864785944654
2005,22,Chaco,50 a 59,Varón,60,10,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,269.932058707257
2005,22,Chaco,60 a 69,Mujer,81,13.5,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,311.600061051903
2005,22,Chaco,60 a 69,Varón,72,12,85071.85545,775185.7985,16525.645883,0.043149434,0.204211616,1602958.1176,18.8424022154086,226.108826584903
2005,22,Chaco,70 a 79,Mujer,107,17.8333333333333,81312.23623,720159.9226,20094.014234,0.056661774,0.263800823,1237614.9223,15.2205249748547,271.432695384909
2005,22,Chaco,70 a 79,Varón,96,16,68546.20957,551409.7501,27800.63739,0.103382549,0.455983231,827772.3191,12.0761209743432,193.217935589491
2005,22,Chaco,80+,Mujer,83,27.6666666666667,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,233.856105649393
2005,22,Chaco,80+,Varón,44,14.6666666666667,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,99.4787276703465
2005,26,Chubut,20 a 29,Mujer,1,0.166666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,10.0671623229573
2005,26,Chubut,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,26,Chubut,30 a 39,Mujer,3,0.5,98257.61885,978444.5914,916.7822444,0.001874835,0.009351389,4983143.736,50.7150874845366,25.3575437422683
2005,26,Chubut,30 a 39,Varón,2,0.333333333333333,96997.57994,962453.8176,1611.2049546,0.003350036,0.016679033,4397739.3413,45.3386501397284,15.1128833799095
2005,26,Chubut,40 a 49,Mujer,1,0.166666666666667,97340.83661,964916.2275,1899.1859597,0.003940669,0.019602298,4004699.1446,41.1409977977176,6.85683296628627
2005,26,Chubut,40 a 49,Varón,3,0.5,95386.37498,940648.9544,2969.172623,0.006324371,0.031361223,3435285.5237,36.0144257963497,18.0072128981749
2005,26,Chubut,50 a 59,Mujer,8,1.33333333333333,95441.65065,935432.4825,4271.158666,0.009156291,0.045235922,3039782.9171,31.8496473646226,42.4661964861634
2005,26,Chubut,50 a 59,Varón,18,3,92417.20236,891678.4517,7345.346913,0.016560566,0.081022824,2494636.5693,26.9932058707257,80.9796176121772
2005,26,Chubut,60 a 69,Mujer,22,3.66666666666667,91170.49198,866735.5123,9858.255748,0.022879944,0.111095234,2104350.4346,23.0814860038446,84.6321153474303
