anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,22,Chaco,55 a 59,Mujer,13,4.33333333333333,93780.42519,462377.2929,2609.933213,0.005644596,0.027830256,2566727.7275,27.3695467076395,118.601369066438
2005,22,Chaco,55 a 59,Varón,40,13.3333333333333,89591.16145,436657.5422,4519.305997,0.010349772,0.050443659,2039615.6598,22.7658133546833,303.544178062444
2005,22,Chaco,60 a 64,Mujer,39,13,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,2104350.4346,23.0814860038446,300.05931804998
2005,22,Chaco,60 a 64,Varón,31,10.3333333333333,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,1602958.1176,18.8424022154086,194.704822892556
2005,22,Chaco,65 a 69,Mujer,42,14,87105.73835,421044.9365,5793.502115,0.013759819,0.066511142,1658659.8588,19.0419126250366,266.586776750512
2005,22,Chaco,65 a 69,Varón,41,13.6666666666667,78228.12718,366935.8419,9681.917618,0.02638586,0.123765172,1194708.161,15.272104856237,208.718766368572
2005,22,Chaco,70 a 74,Mujer,52,17.3333333333333,81312.23623,385197.4791,8545.480834,0.022184675,0.105094648,1237614.9223,15.2205249748547,263.822432897481
2005,22,Chaco,70 a 74,Varón,50,16.6666666666667,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,827772.3191,12.0761209743432,201.26868290572
2005,22,Chaco,75 a 79,Mujer,55,18.3333333333333,72766.7554,334962.4435,11548.5334,0.034477099,0.158706175,852417.4432,11.7143802621712,214.763638139805
2005,22,Chaco,75 a 79,Varón,46,15.3333333333333,55636.05915,240954.0783,14890.48697,0.061798028,0.267640936,517316.6473,9.29822592044606,142.57279744684
2005,22,Chaco,80+,Mujer,83,27.6666666666667,61218.222,517454.9997,61218.222,0.223518842,1.26984398,517454.9997,8.45263032467686,233.856105649393
2005,22,Chaco,80+,Varón,44,14.6666666666667,40745.57218,276362.569,40745.57218,0.304985703,1.402596322,276362.569,6.78264052297817,99.4787276703465
2005,26,Chubut,20 a 24,Mujer,0,0,98811.82099,493384.8087,269.7185104,0.00054667,0.002729618,5968527.848,60.4029739377441,0
2005,26,Chubut,20 a 24,Varón,0,0,98328.4754,489942.6654,679.8846403,0.001387682,0.006914423,5374297.4334,54.6565723869649,0
