anio_enfr,prov_id,prov_nombre,region,grupo_edad_amp,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,avp_dm
2005,14,Córdoba,Centro,20 a 29,Varón,3,1,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,54.6565723869649
2005,14,Córdoba,Centro,30 a 44,Mujer,20,6.66666666666667,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,338.100583230244
2005,14,Córdoba,Centro,30 a 44,Varón,20,6.66666666666667,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,302.25766759819
2005,14,Córdoba,Centro,45 a 59,Mujer,135,45,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,1639.82539042081
2005,14,Córdoba,Centro,45 a 59,Varón,243,81,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,2545.54071440029
2005,14,Córdoba,Centro,60 a 74,Mujer,504,168,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,3877.6896486459
2005,14,Córdoba,Centro,60 a 74,Varón,725,241.666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,4553.58053539041
2005,14,Córdoba,Centro,75+,Mujer,844,281.333333333333,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,3295.64564709083
2005,14,Córdoba,Centro,75+,Varón,619,206.333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,1918.53394825204
2005,18,Corrientes,NEA,20 a 29,Mujer,1,0.333333333333333,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,20.1343246459147
2005,18,Corrientes,NEA,20 a 29,Varón,2,0.666666666666667,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,36.4377149246433
2005,18,Corrientes,NEA,30 a 44,Mujer,6,2,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,101.430174969073
2005,18,Corrientes,NEA,30 a 44,Varón,4,1.33333333333333,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,60.4515335196379
2005,18,Corrientes,NEA,45 a 59,Mujer,32,10.6666666666667,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,388.69935180345
2005,18,Corrientes,NEA,45 a 59,Varón,49,16.3333333333333,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,513.298333356437
2005,18,Corrientes,NEA,60 a 74,Mujer,115,38.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,884.790296814044
2005,18,Corrientes,NEA,60 a 74,Varón,134,44.6666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,841.627298954917
2005,18,Corrientes,NEA,75+,Mujer,129,43,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,503.718351273362
2005,18,Corrientes,NEA,75+,Varón,97,32.3333333333333,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,300.642638094423
2005,22,Chaco,NEA,20 a 29,Mujer,2,0.666666666666667,98811.82099,985384.112,554.2021422,0.00112489,0.005616543,5968527.848,60.4029739377441,40.2686492918294
2005,22,Chaco,NEA,20 a 29,Varón,0,0,98328.4754,976558.0921,1330.8954562,0.002725516,0.013581297,5374297.4334,54.6565723869649,0
2005,22,Chaco,NEA,30 a 44,Mujer,9,3,98257.61885,1463276.6876,1665.6169761,0.003419359,0.017044303,4983143.736,50.7150874845366,152.14526245361
2005,22,Chaco,NEA,30 a 44,Varón,9,3,96997.57994,1436489.7606,2769.5777356,0.005793675,0.02882304,4397739.3413,45.3386501397284,136.015950419185
2005,22,Chaco,NEA,45 a 59,Mujer,37,12.3333333333333,96592.00187,1415516.6138,5421.509894,0.011552436,0.057145306,3519867.0484,36.4405642315735,449.43362552274
2005,22,Chaco,NEA,45 a 59,Varón,62,20.6666666666667,94228.0022,1358291.4631,9156.146755,0.020441298,0.10024004,2961249.5807,31.4264285728431,649.479523838757
2005,22,Chaco,NEA,60 a 74,Mujer,133,44.3333333333333,91170.49198,1251932.9914,18403.736582,0.045064619,0.216189882,2104350.4346,23.0814860038446,1023.27921283711
2005,22,Chaco,NEA,60 a 74,Varón,122,40.6666666666667,85071.85545,1085641.4703,29435.796303,0.084733955,0.392553911,1602958.1176,18.8424022154086,766.257690093283
2005,22,Chaco,NEA,75+,Mujer,138,46,72766.7554,852417.4432,72766.7554,0.257995941,1.428550155,852417.4432,11.7143802621712,538.861492059875
2005,22,Chaco,NEA,75+,Varón,90,30,55636.05915,517316.6473,55636.05915,0.366783731,1.670237258,517316.6473,9.29822592044606,278.946777613382
